"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Latvia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2069068.911","2325820","Weight in kilograms","2325820"
"Latvia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","62047.731","70286","Weight in kilograms","70286"
"Liberia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","833.61","740","Weight in kilograms","740"
"Lithuania","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","23381","10815.09","Weight in kilograms","10815.09"
"Lithuania","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","147066","117480","Weight in kilograms","117480"
"Lithuania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","29882","14149.4","Weight in kilograms","14149.4"
"Lithuania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","155015","120695","Weight in kilograms","120695"
"Lithuania","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","238792","123158","Weight in kilograms","123158"
"Lithuania","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","143154","60310","Weight in kilograms","60310"
"Luxembourg","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","9929.044","2560","Weight in kilograms","2560"
"Luxembourg","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","28509.598","13442.58","Weight in kilograms","13442.58"
"Luxembourg","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5223.825","1365","Weight in kilograms","1365"
"Luxembourg","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","47569.786","19004.743","Weight in kilograms","19004.743"
"Luxembourg","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","18.176","16.28","Weight in kilograms","16.28"
"Luxembourg","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","385.258","34.28","Weight in kilograms","34.28"
"Luxembourg","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","218719.791","195168.361","Weight in kilograms","195168.361"
"Malaysia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2637602.504","4816478.17","Weight in kilograms","4816478.17"
"Malaysia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","6975662.213","21446677.2","Weight in kilograms","21446677.2"
"Malaysia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2268993.875","6098495.64","Weight in kilograms","6098495.64"
"Malaysia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","5563142.074","17971487.5","Weight in kilograms","17971487.5"
"Malaysia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","958455.293","1981049","Weight in kilograms","1981049"
"Malaysia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4267091.991","9847136","Weight in kilograms","9847136"
"Maldives","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","135187.232","213081","Weight in kilograms","213081"
"Maldives","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","135337.672","209055","Weight in kilograms","209055"
"Maldives","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","99191.791","139921","Weight in kilograms","139921"
"Malta","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","34964.136","44410","Weight in kilograms","44410"
"Malta","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","20466.252","23262","Weight in kilograms","23262"
"Malta","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","159.01","5","Weight in kilograms","5"
"Mauritius","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","427.002","47","Weight in kilograms","47"
"Mexico","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","16972","35384","Weight in kilograms","35384"
"Montenegro","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1148.677","789.5","Weight in kilograms","789.5"
"Montenegro","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1059.543","25","Weight in kilograms","25"
"Morocco","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","687249.395","320746","Weight in kilograms","320746"
"Morocco","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","41.85","15","Weight in kilograms","15"
"Morocco","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","737111.343","263680","Weight in kilograms","263680"
"Myanmar","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","575","230","Weight in kilograms","230"
"Namibia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","35158.828","1008864.57","Weight in kilograms","1008864.57"
"Namibia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1252.185","293.74","Weight in kilograms","293.74"
"Namibia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","29.057","52.15","Weight in kilograms","52.15"
"Namibia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","35.879","2","Weight in kilograms","2"
"Namibia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","3301.569","34000","Weight in kilograms","34000"
"Namibia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","18.831","1","Weight in kilograms","1"
"Netherlands","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","768583.211","586335","Weight in kilograms","586335"
"Netherlands","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3326459.302","4132750","Weight in kilograms","4132750"
"Netherlands","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1065326.395","683312","Weight in kilograms","683312"
"Netherlands","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1241835.929","1086566.784","Weight in kilograms","1086566.784"
"Netherlands","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1135268.561","979728","Weight in kilograms","979728"
"Netherlands","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","453628.077","460067","Weight in kilograms","460067"
"New Zealand","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","547762.769","748674","Weight in kilograms","748674"
"New Zealand","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","13986.449","8300","Weight in kilograms","8300"
"New Zealand","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","13986.449","8300","Weight in kilograms","8300"
"New Zealand","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","159906.452","222162","Weight in kilograms","222162"
"New Zealand","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","693543.966","749033","Weight in kilograms","749033"
"New Zealand","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","940.284","300","Weight in kilograms","300"
"Niger","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","49.682","30","Weight in kilograms","30"
"Nigeria","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","63229.847","48130.36","Weight in kilograms","48130.36"
"Nigeria","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","90662.293","26430","Weight in kilograms","26430"
"Norway","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","128336.34","51480","Weight in kilograms","51480"
"Norway","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","67992.582","59400","Weight in kilograms","59400"
"Norway","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","43005.951","21615","Weight in kilograms","21615"
"Norway","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","77982.318","38439","Weight in kilograms","38439"
"Norway","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","298750.886","119221","Weight in kilograms","119221"
"Oman","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","5498.049","5746.893","Weight in kilograms","5746.893"
"Oman","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5498.049","5746.893","Weight in kilograms","5746.893"
"Oman","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","421651.495","426996.718","Weight in kilograms","426996.718"
"Oman","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","205401.82","196338.678","Weight in kilograms","196338.678"
"Oman","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","225167.75","215232.457","Weight in kilograms","215232.457"
"Oman","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","76304.291","83256.702","Weight in kilograms","83256.702"
"Other Asia, nes","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","52353.198","125380","Weight in kilograms","125380"
"Pakistan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","34913.153","355","Weight in kilograms","355"
"Pakistan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","30.358","1","Weight in kilograms","1"
"Pakistan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","59.442","30","Weight in kilograms","30"
"Panama","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","12507","9600","Weight in kilograms","9600"
"Panama","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","7672","3300","Weight in kilograms","3300"
"Paraguay","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","58800","50400","Weight in kilograms","50400"
"Philippines","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","81296417","151917590","Weight in kilograms","151917590"
"Philippines","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","19076","128512","Weight in kilograms","128512"
"Poland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","348141","224738","Weight in kilograms","224738"
"Poland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","405022","449481","Weight in kilograms","449481"
"Poland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","208190","110835","Weight in kilograms","110835"
"Poland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","694217","598923.705","Weight in kilograms","598923.705"
"Poland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","172637","57157","Weight in kilograms","57157"
"Poland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","113094","410547.014","Weight in kilograms","410547.014"
"Portugal","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","250650.652","129611","Weight in kilograms","129611"
"Portugal","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","166220.22","293096","Weight in kilograms","293096"
"Portugal","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","621384.532","1335866","Weight in kilograms","1335866"
"Portugal","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1746076.9","6173119.057","Weight in kilograms","6173119.057"
"Portugal","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1166161.849","2566223","Weight in kilograms","2566223"
"Portugal","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","864410.764","2125136","Weight in kilograms","2125136"
"Qatar","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","196573.623","199065.562","Weight in kilograms","199065.562"
"Rep. of Korea","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","4075","2000","Weight in kilograms","2000"
"Rep. of Korea","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1879919","3545997.322","Weight in kilograms","3545997.322"
"Rep. of Korea","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2687950","5252932.695","Weight in kilograms","5252932.695"
"Rep. of Korea","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","17450","21600","Weight in kilograms","21600"
"Rep. of Korea","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2380404","4882092.13","Weight in kilograms","4882092.13"
"Rep. of Moldova","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","46104","20078","Weight in kilograms","20078"
"Rep. of Moldova","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2473","800","Weight in kilograms","800"
"Rep. of Moldova","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","36148","14430","Weight in kilograms","14430"
"Romania","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","144526.91","112718.335","Weight in kilograms","112718.335"
"Romania","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5921.92","4828.09","Weight in kilograms","4828.09"
"Romania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","16.26","2","Weight in kilograms","2"
"Romania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","64284.63","79695.553","Weight in kilograms","79695.553"
"Romania","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","460449.22","571772.534","Weight in kilograms","571772.534"
"Romania","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","580045.54","920755.317","Weight in kilograms","920755.317"
"Saudi Arabia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","5627946.793","5699291.566","Weight in kilograms","5699291.566"
"Saudi Arabia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1418457.565","1246066","Weight in kilograms","1246066"
"Serbia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","26835","143505","Weight in kilograms","143505"
"Singapore","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","77405.292","131640","Weight in kilograms","131640"
"Singapore","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","146613.397","196454.76","Weight in kilograms","196454.76"
"Singapore","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","59683.752","89970","Weight in kilograms","89970"
"Singapore","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","269198.5","417640","Weight in kilograms","417640"
"Slovakia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","246.251","111","Weight in kilograms","111"
"Slovakia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","66149.205","48316","Weight in kilograms","48316"
"Slovakia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","109806.072","62852","Weight in kilograms","62852"
"Slovakia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","817.439","368","Weight in kilograms","368"
"Slovakia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","106470.588","70501.697","Weight in kilograms","70501.697"
"Slovakia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1638.544","695","Weight in kilograms","695"
"Slovenia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","10.209","0.709","Weight in kilograms","0.709"
"Slovenia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","8248.948","3162.731","Weight in kilograms","3162.731"
"Slovenia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","386.181","17","Weight in kilograms","17"
"Slovenia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","3261.227","923.241","Weight in kilograms","923.241"
"Slovenia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","848.97","351.969","Weight in kilograms","351.969"
"Slovenia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","10860.799","4913.581","Weight in kilograms","4913.581"
"South Africa","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","128044.323","","Weight in kilograms","115521.11"
"South Africa","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","12218.097","15322.592","Weight in kilograms","15322.592"
"South Africa","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","235254.448","524938.48","Weight in kilograms","524938.48"
"South Africa","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","74544.975","263458.4","Weight in kilograms","263458.4"
"South Africa","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","34714.238","59598.11","Weight in kilograms","59598.11"
"South Africa","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","51268.556","210037.89","Weight in kilograms","210037.89"
"Spain","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","841927.104","685059.5","Weight in kilograms","685059.5"
"Spain","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","48288.322","103397.715","Weight in kilograms","103397.715"
"Spain","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","456633.243","355140.44","Weight in kilograms","355140.44"
"Spain","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2246384.994","11015727.5","Weight in kilograms","11015727.5"
"Spain","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","4765205.188","40480298","Weight in kilograms","40480298"
"Spain","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","539061.933","320214.713","Weight in kilograms","320214.713"
"Sri Lanka","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","11103204.349","19260520","Weight in kilograms","19260520"
"Sri Lanka","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","6428831.091","11084636","Weight in kilograms","11084636"
"Sri Lanka","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","4990667.552","9909605","Weight in kilograms","9909605"
"Sri Lanka","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4988878.238","9798814","Weight in kilograms","9798814"
"Swaziland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","612.06","1270","Weight in kilograms","1270"
"Swaziland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","182.27","15005","Weight in kilograms","15005"
"Sweden","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","491500.585","249103.075","Weight in kilograms","249103.075"
"Sweden","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1029653.035","1115871.464","Weight in kilograms","1115871.464"
"Sweden","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2638414.064","3781350.772","Weight in kilograms","3781350.772"
"Sweden","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","284632.795","340112.62","Weight in kilograms","340112.62"
"Sweden","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1096769.236","734000","Weight in kilograms","734000"
"Sweden","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3538175.777","5449152.271","Weight in kilograms","5449152.271"
"Switzerland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","436004.311","249357.838","Weight in kilograms","249357.838"
"Switzerland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2205.713","22451.99","Weight in kilograms","22451.99"
"Switzerland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","289386.532","141397.893","Weight in kilograms","141397.893"
"Switzerland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1513.086","765","Weight in kilograms","765"
"Switzerland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","561016.34","254288","Weight in kilograms","254288"
"Switzerland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2049.343","1964.238","Weight in kilograms","1964.238"
"Thailand","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","823.06","92","Weight in kilograms","92"
"Thailand","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","3313929.97","6066784","Weight in kilograms","6066784"
"Thailand","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","3916445.975","6765501.367","Weight in kilograms","6765501.367"
"Thailand","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","146335.033","100827","Weight in kilograms","100827"
"Thailand","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","144.406","276.05","Weight in kilograms","276.05"
"Thailand","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","82632.816","60614.916","Weight in kilograms","60614.916"
"Thailand","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","4990762.118","9540479.081","Weight in kilograms","9540479.081"
"Türkiye","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","416405","458071","Weight in kilograms","458071"
"Türkiye","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2987829","2706080","Weight in kilograms","2706080"
"Türkiye","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3062954","3370426","Weight in kilograms","3370426"
"Türkiye","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","440102","696808","Weight in kilograms","696808"
"Türkiye","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3118323","2898772","Weight in kilograms","2898772"
"Türkiye","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","355702","490370","Weight in kilograms","490370"
"Uganda","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","40","20","Weight in kilograms","20"
"Ukraine","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1155436.31","653618","Weight in kilograms","653618"
"Ukraine","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","40052.27","27356.58","Weight in kilograms","27356.58"
"Ukraine","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","676637.09","440011.596","Weight in kilograms","440011.596"
"Ukraine","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","84527.79","86480.4","Weight in kilograms","86480.4"
"United Arab Emirates","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","299327.226","","No Quantity",""
"United Arab Emirates","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","325932.928","","No Quantity",""
"United Arab Emirates","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1612957.109","2685888.7","Weight in kilograms","2685888.7"
"United Arab Emirates","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","123751.615","126032","Weight in kilograms","126032"
"United Arab Emirates","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","135243.787","127096","Weight in kilograms","127096"
"United Arab Emirates","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","461597.463","670716","Weight in kilograms","670716"
"United Kingdom","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1104540.909","","No Quantity",""
"United Kingdom","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","48304.474","31053","Weight in kilograms","31053"
"United Kingdom","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","157966.256","83654","Weight in kilograms","83654"
"United Kingdom","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","754224.551","638762.751","Weight in kilograms","638762.751"
"United Kingdom","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","32525.507","","No Quantity",""
"United Kingdom","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","695143.357","442523","Weight in kilograms","442523"
"United Rep. of Tanzania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","371.61","112","Weight in kilograms","112"
"USA","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4409750","3132000","Weight in kilograms","3132000"
"USA","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","297260","308000","Weight in kilograms","308000"
"USA","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","627154","820000","Weight in kilograms","820000"
"USA","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","242496","302000","Weight in kilograms","302000"
"USA","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1671807","885000","Weight in kilograms","885000"
"USA","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4128564","2764000","Weight in kilograms","2764000"
"USA","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4818987","2991000","Weight in kilograms","2991000"
"USA","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","706691","700000","Weight in kilograms","700000"
"USA","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","336294","490000","Weight in kilograms","490000"
"Uzbekistan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5456","14780","Weight in kilograms","14780"
"Uzbekistan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1337378","988410","Weight in kilograms","988410"
"Uzbekistan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","3314","1020","Weight in kilograms","1020"
"Uzbekistan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","300624","199840","Weight in kilograms","199840"
"Viet Nam","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1990250","2121510.903","Weight in kilograms","2121510.903"
"Viet Nam","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5225748.745","4935045.292","Weight in kilograms","4935045.292"
"Viet Nam","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","5513016.2","6015330.691","Weight in kilograms","6015330.691"
"Viet Nam","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7726785.662","7385849.269","Weight in kilograms","7385849.269"
"Zambia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1457.199","2700","Weight in kilograms","2700"
"Zimbabwe","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","281.569","210","Weight in kilograms","210"
"Zimbabwe","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","349.93","739","Weight in kilograms","739"

